_id_obat,_nama_obat,_nama_obat_internasional
7,abakavir,abacavir
23,adenosin,adenosine
30,afatinib,afatinib
4870,air steril untuk injeksi,sterile water for injection
39,air untuk irigasi,water for irigation
45,akarbose,acarbose
53,akuades,aquadest
56,albendazol,albendazole
60,albumin serum normal (human albumin),albumin serum normal (human albumin)
65,alektinib,alectinib
67,alendronat,alendronate
102,alopurinol,allopurinol
105,alprazolam,alprazolam
109,alteplase,alteplase
137,amfoterisin B,amphotericin B
140,amikasin,amikacin
145,aminofilin,aminophylline
149,amiodaron,amiodarone
151,amitriptilin,amitriptyline
155,amlodipin,amlodipine
161,amoksisilin,amoxicillin
166,ampisilin,ampicillin
4860,Analog Insulin Basal: insulin detemir,Analog Basal Insulin: insulin detemir
4861,Analog Insulin Basal: insulin glargine,Analog Basal Insulin: insulin glargine
4868,Analog Insulin Campuran: Co-formulation 70% insulin degludec (ultra-long acting insulin) dan 30% insulin aspart,Analog Mix Insulin: Co-formulation 70% insulin degludec (ultra-long acting insulin) and 30% insulin aspart
4867,Analog Insulin Campuran: kombinasi 50% insulin protamine lispro dan 50% insulin lispro,Analog Mix Insulin: combination of 50% insulin protamine lispro and 50% insulin lispro
4865,Analog Insulin Campuran: kombinasi 70% insulin protamine aspart dan 30% insulin aspart ,Analog Mix Insulin: combination of 70% insulin protamine aspart and 30% insulin aspart 
4866,Analog Insulin Campuran: kombinasi 75% insulin protamine lispro dan 25% insulin lispro,Analog Mix Insulin: combination of 75% insulin protamine lispro and 25% insulin lispro
4863,Analog Insulin Prandial: insulin aspart,Analog Prandial Insulin: insulin aspart
4864,Analog Insulin Prandial: insulin glulisin,Analog Prandial Insulin: insulin glulisin
4862,Analog Insulin Prandial: insulin lispro,Analog Prandial Insulin: insulin lispro
178,anastrozol,anastrozole
182,"anestetik lokal gigi, kombinasi KDT/FDC mengandung lidokain dan epinefrin","dental local anesthetic, fixed dose combination (FDC) contains lidocaine and epinephrine"
194,"antasida, kombinasi aluminium  hidroksida dan magnesium hidroksida","antacid, combination of aluminum hydroxide and magnesium hydroxide"
196,"antibakteri, kombinasi KDT/FDC mengandung basitrasin dan polimiksin B","antibacterial, fixed dose combination (FDC) contains bacitracin and polymyxin B"
1704,anti-D (Rho(D)) imunoglobulin,anti-D (Rho(D)) immunoglobulin
197,"antifungi, kombinasi KDT/FDC mengandung asam benzoat dan asam salisilat","antibacterial, fixed dose combination (FDC) contains benzoic acid and salicylic acid"
203,"antihemoroid, kombinasi KDT/FDC mengandung bismut subgalat, heksaklorofen, lidokain, dan seng oksida","antihemorrhoids, fixed dose  combination (FDC) containing bismuth subgalate, hexachlorophene, lidocaine, and zinc oxide"
225,aripiprazol,aripiprazole
234,artesunat,artesunate
235,articulating paper,articulating paper
252,asam asetat,acetic acid
253,asam asetilsalisilat (asetosal),acetylsalicylic acid (acetosal)
257,asam askorbat (vitamin C),ascorbic acid (vit C)
268,asam folat,folic acid
